index,DatetimeEnd,Concentration,year,month,day,hour,season
174,2019-01-08 08:00:00+01:00,55.0,2019,1,8,8,winter
175,2019-01-08 09:00:00+01:00,55.5,2019,1,8,9,winter
176,2019-01-08 10:00:00+01:00,50.5,2019,1,8,10,winter
177,2019-01-08 11:00:00+01:00,29.5,2019,1,8,11,winter
178,2019-01-08 12:00:00+01:00,28.0,2019,1,8,12,winter
179,2019-01-08 13:00:00+01:00,27.5,2019,1,8,13,winter
180,2019-01-08 14:00:00+01:00,29.0,2019,1,8,14,winter
181,2019-01-08 15:00:00+01:00,25.5,2019,1,8,15,winter
182,2019-01-08 16:00:00+01:00,31.5,2019,1,8,16,winter
183,2019-01-08 17:00:00+01:00,37.0,2019,1,8,17,winter
184,2019-01-08 18:00:00+01:00,44.0,2019,1,8,18,winter
185,2019-01-08 19:00:00+01:00,42.5,2019,1,8,19,winter
186,2019-01-08 20:00:00+01:00,34.5,2019,1,8,20,winter
187,2019-01-08 21:00:00+01:00,38.5,2019,1,8,21,winter
188,2019-01-08 22:00:00+01:00,28.0,2019,1,8,22,winter
189,2019-01-08 23:00:00+01:00,23.0,2019,1,8,23,winter
190,2019-01-09 00:00:00+01:00,18.5,2019,1,9,0,winter
191,2019-01-09 01:00:00+01:00,14.5,2019,1,9,1,winter
192,2019-01-09 02:00:00+01:00,8.5,2019,1,9,2,winter
193,2019-01-09 03:00:00+01:00,10.5,2019,1,9,3,winter
194,2019-01-09 04:00:00+01:00,7.5,2019,1,9,4,winter
195,2019-01-09 05:00:00+01:00,11.5,2019,1,9,5,winter
196,2019-01-09 06:00:00+01:00,21.5,2019,1,9,6,winter
197,2019-01-09 07:00:00+01:00,49.0,2019,1,9,7,winter
198,2019-01-09 08:00:00+01:00,61.0,2019,1,9,8,winter
199,2019-01-09 09:00:00+01:00,65.0,2019,1,9,9,winter
200,2019-01-09 10:00:00+01:00,50.5,2019,1,9,10,winter
201,2019-01-09 11:00:00+01:00,51.5,2019,1,9,11,winter
202,2019-01-09 12:00:00+01:00,47.0,2019,1,9,12,winter
203,2019-01-09 13:00:00+01:00,49.5,2019,1,9,13,winter
204,2019-01-09 14:00:00+01:00,41.5,2019,1,9,14,winter
205,2019-01-09 15:00:00+01:00,41.0,2019,1,9,15,winter
206,2019-01-09 18:00:00+01:00,53.0,2019,1,9,18,winter
207,2019-01-09 19:00:00+01:00,66.0,2019,1,9,19,winter
208,2019-01-09 20:00:00+01:00,54.5,2019,1,9,20,winter
209,2019-01-09 21:00:00+01:00,46.0,2019,1,9,21,winter
210,2019-01-09 22:00:00+01:00,43.0,2019,1,9,22,winter
211,2019-01-09 23:00:00+01:00,42.5,2019,1,9,23,winter
212,2019-01-10 00:00:00+01:00,37.0,2019,1,10,0,winter
213,2019-01-10 01:00:00+01:00,33.5,2019,1,10,1,winter
214,2019-01-10 02:00:00+01:00,31.0,2019,1,10,2,winter
215,2019-01-10 03:00:00+01:00,25.0,2019,1,10,3,winter
216,2019-01-10 04:00:00+01:00,28.0,2019,1,10,4,winter
217,2019-01-10 05:00:00+01:00,36.5,2019,1,10,5,winter
218,2019-01-10 06:00:00+01:00,55.0,2019,1,10,6,winter
219,2019-01-10 07:00:00+01:00,72.0,2019,1,10,7,winter
220,2019-01-10 08:00:00+01:00,77.5,2019,1,10,8,winter
221,2019-01-10 09:00:00+01:00,80.5,2019,1,10,9,winter
222,2019-01-10 10:00:00+01:00,79.5,2019,1,10,10,winter
223,2019-01-10 11:00:00+01:00,77.0,2019,1,10,11,winter
224,2019-01-10 12:00:00+01:00,75.5,2019,1,10,12,winter
225,2019-01-10 13:00:00+01:00,76.0,2019,1,10,13,winter
226,2019-01-10 14:00:00+01:00,65.5,2019,1,10,14,winter
227,2019-01-10 15:00:00+01:00,65.0,2019,1,10,15,winter
228,2019-01-10 16:00:00+01:00,72.0,2019,1,10,16,winter
229,2019-01-10 17:00:00+01:00,71.5,2019,1,10,17,winter
230,2019-01-10 18:00:00+01:00,69.5,2019,1,10,18,winter
231,2019-01-10 19:00:00+01:00,56.0,2019,1,10,19,winter
232,2019-01-10 20:00:00+01:00,65.5,2019,1,10,20,winter
233,2019-01-10 21:00:00+01:00,65.0,2019,1,10,21,winter
234,2019-01-10 22:00:00+01:00,48.5,2019,1,10,22,winter
235,2019-01-10 23:00:00+01:00,42.5,2019,1,10,23,winter
236,2019-01-11 00:00:00+01:00,40.5,2019,1,11,0,winter
237,2019-01-11 01:00:00+01:00,33.0,2019,1,11,1,winter
